rank,category,title,url,source,snippet,relevance,date
1,academico,[ORCID] 0000-0003-2840-2549,https://orcid.org/0000-0003-2840-2549,orcid,Perfil ORCID encontrado para búsqueda: juan ricote,5.40,
2,academico,[ORCID] 0000-0002-8391-681X,https://orcid.org/0000-0002-8391-681X,orcid,Perfil ORCID encontrado para búsqueda: juan ricote,5.40,
3,academico,[ORCID] 0000-0002-3727-3198,https://orcid.org/0000-0002-3727-3198,orcid,Perfil ORCID encontrado para búsqueda: juan ricote,5.40,
4,academico,[ORCID] 0000-0003-4409-2173,https://orcid.org/0000-0003-4409-2173,orcid,Perfil ORCID encontrado para búsqueda: juan ricote,5.40,
5,academico,[ORCID] 0000-0003-1076-5608,https://orcid.org/0000-0003-1076-5608,orcid,Perfil ORCID encontrado para búsqueda: juan ricote,5.40,
