epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,329.398,0.39707,0.97804,1.07467,0.82849,0.84193,0.88754,0.85745,0.28954,0.54012,0.6159,0.000371313,0.000371313,0.000371313
43,337.119,0.40673,1.01646,1.07612,0.79746,0.89502,0.89921,0.85983,0.32942,0.56021,0.64671,0.000365125,0.000365125,0.000365125
44,344.963,0.39194,0.98075,1.06789,0.78669,0.90371,0.91809,0.91101,0.24176,0.50559,0.57499,0.000358938,0.000358938,0.000358938
45,352.782,0.39892,0.96083,1.07438,0.82681,0.83383,0.90683,0.84712,0.36744,0.5749,0.70091,0.00035275,0.00035275,0.00035275
46,360.585,0.38828,0.93644,1.05926,0.77244,0.92889,0.89718,0.8611,0.33485,0.53334,0.64172,0.000346563,0.000346563,0.000346563
47,368.319,0.40813,0.97443,1.08273,0.75011,0.90674,0.89291,0.86903,0.27666,0.55021,0.6229,0.000340375,0.000340375,0.000340375
48,376.27,0.38743,0.93659,1.06664,0.83151,0.84651,0.91321,0.87877,0.31292,0.50077,0.62141,0.000334188,0.000334188,0.000334188
49,384.068,0.3843,0.91559,1.06031,0.87551,0.84347,0.9147,0.89867,0.26178,0.50174,0.57824,0.000328,0.000328,0.000328
50,391.868,0.38648,0.92545,1.05546,0.86257,0.84084,0.90173,0.87819,0.27858,0.56992,0.59317,0.000321812,0.000321812,0.000321812
51,399.697,0.3929,0.92364,1.06388,0.8027,0.89956,0.92118,0.91392,0.21767,0.47871,0.55217,0.000315625,0.000315625,0.000315625
52,407.618,0.38957,0.93609,1.06203,0.84933,0.85864,0.91908,0.90231,0.25707,0.4997,0.57516,0.000309437,0.000309437,0.000309437
53,415.379,0.38274,0.93078,1.05477,0.82704,0.90019,0.92465,0.90337,0.31687,0.47172,0.62038,0.00030325,0.00030325,0.00030325
54,423.21,0.37591,0.88481,1.04882,0.80283,0.91785,0.91544,0.89673,0.26421,0.47189,0.60724,0.000297063,0.000297063,0.000297063
55,431.053,0.3796,0.89491,1.05785,0.78095,0.91001,0.90613,0.88315,0.28916,0.53259,0.60591,0.000290875,0.000290875,0.000290875
56,438.969,0.36782,0.88881,1.04643,0.85638,0.90013,0.93737,0.91391,0.28552,0.47299,0.59367,0.000284688,0.000284688,0.000284688
57,446.692,0.3592,0.85305,1.04205,0.89054,0.85317,0.93376,0.92626,0.25179,0.4372,0.56086,0.0002785,0.0002785,0.0002785
58,454.4,0.36045,0.8524,1.04699,0.83248,0.91297,0.92746,0.9131,0.26205,0.45185,0.56401,0.000272313,0.000272313,0.000272313
59,462.106,0.37161,0.89147,1.04934,0.82466,0.91681,0.92882,0.92264,0.20848,0.4222,0.52033,0.000266125,0.000266125,0.000266125
60,469.871,0.37131,0.85244,1.05203,0.83399,0.90725,0.93631,0.91207,0.26467,0.46895,0.57431,0.000259938,0.000259938,0.000259938
61,477.707,0.3545,0.82774,1.04017,0.80598,0.93743,0.93519,0.92571,0.24475,0.41764,0.55853,0.00025375,0.00025375,0.00025375
62,485.371,0.37734,0.87872,1.06338,0.80676,0.96062,0.93536,0.91282,0.27925,0.40792,0.57693,0.000247563,0.000247563,0.000247563
63,493.08,0.35444,0.8173,1.03897,0.86123,0.88818,0.94151,0.91826,0.27937,0.41589,0.57895,0.000241375,0.000241375,0.000241375
64,500.896,0.36297,0.86484,1.04799,0.87831,0.89817,0.94419,0.93561,0.22829,0.38831,0.55171,0.000235188,0.000235188,0.000235188
65,508.611,0.35773,0.8541,1.04742,0.84411,0.93727,0.94225,0.93113,0.23652,0.37921,0.55161,0.000229,0.000229,0.000229
66,516.271,0.37049,0.85878,1.05387,0.83432,0.95209,0.94076,0.89971,0.31613,0.4097,0.61348,0.000222813,0.000222813,0.000222813
67,523.939,0.35255,0.8456,1.03407,0.85406,0.89635,0.93648,0.92133,0.25072,0.43349,0.5578,0.000216625,0.000216625,0.000216625
68,531.684,0.34307,0.76896,1.02965,0.81467,0.94092,0.93217,0.91432,0.28702,0.40747,0.58057,0.000210437,0.000210437,0.000210437
69,539.459,0.33691,0.7942,1.02706,0.84452,0.91738,0.93924,0.92562,0.26096,0.39835,0.55883,0.00020425,0.00020425,0.00020425
70,547.121,0.36169,0.82095,1.05425,0.85568,0.93196,0.94029,0.92488,0.26241,0.41917,0.57279,0.000198063,0.000198063,0.000198063
71,554.887,0.33481,0.78741,1.03021,0.82457,0.91681,0.9296,0.91356,0.28936,0.40816,0.58986,0.000191875,0.000191875,0.000191875
72,562.606,0.3419,0.78158,1.03018,0.82227,0.94152,0.93796,0.91989,0.27802,0.39615,0.5809,0.000185688,0.000185688,0.000185688
73,570.274,0.33726,0.78344,1.02225,0.86957,0.91752,0.94311,0.91561,0.28003,0.37089,0.56732,0.0001795,0.0001795,0.0001795
74,578.088,0.34972,0.82016,1.03833,0.84681,0.92287,0.94574,0.93558,0.2494,0.37236,0.55576,0.000173313,0.000173313,0.000173313
75,585.879,0.34365,0.81647,1.03365,0.83571,0.94688,0.9404,0.93416,0.18471,0.36406,0.51841,0.000167125,0.000167125,0.000167125
