epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.4617,1.2391,4.12896,1.80346,0.0906,0.48992,0.16513,0.11717,1.09663,3.00001,2.01676,0.000181901,0.000181901,0.000181901
2,15.6117,0.79084,2.30927,1.40837,0.48558,0.43921,0.41013,0.33733,0.79845,1.90474,1.38349,0.000363599,0.000363599,0.000363599
3,22.7071,0.68485,2.02158,1.31049,0.36216,0.5711,0.43675,0.3839,0.56339,1.86009,1.02264,0.000541627,0.000541627,0.000541627
4,29.9121,0.6698,1.84312,1.28839,0.41066,0.63777,0.51246,0.43087,0.65377,1.65856,1.14856,0.000539487,0.000539487,0.000539487
5,37.0539,0.62597,1.76501,1.25457,0.48452,0.52815,0.52448,0.42407,0.69912,1.69773,1.20022,0.000533982,0.000533982,0.000533982
6,44.2143,0.61667,1.70163,1.25195,0.37821,0.63599,0.53769,0.46784,0.6065,1.43066,1.03804,0.000528478,0.000528478,0.000528478
7,51.4139,0.58939,1.66389,1.22755,0.63094,0.47221,0.56325,0.49273,0.61511,1.46152,1.03279,0.000522974,0.000522974,0.000522974
8,58.7019,0.55683,1.56054,1.19537,0.54621,0.49668,0.53344,0.45364,0.6874,1.50422,1.08846,0.000517469,0.000517469,0.000517469
9,65.8581,0.56744,1.58392,1.21245,0.49501,0.59898,0.56771,0.50729,0.52486,1.4816,0.97601,0.000511965,0.000511965,0.000511965
10,73.1039,0.56154,1.52922,1.1988,0.54661,0.54414,0.55391,0.48154,0.58168,1.38722,1.01673,0.00050646,0.00050646,0.00050646
11,80.2641,0.53927,1.49055,1.18298,0.52854,0.63219,0.56982,0.50887,0.49241,1.4055,0.93413,0.000500956,0.000500956,0.000500956
12,87.6238,0.52251,1.46765,1.16375,0.37501,0.6934,0.54756,0.4829,0.4725,1.27787,0.90079,0.000495452,0.000495452,0.000495452
13,94.8195,0.51172,1.455,1.16026,0.49184,0.60902,0.53358,0.51036,0.32836,1.37039,0.72126,0.000489947,0.000489947,0.000489947
14,102.113,0.50668,1.40427,1.15395,0.52252,0.55996,0.59106,0.52707,0.44263,1.33566,0.85877,0.000484443,0.000484443,0.000484443
15,109.445,0.50095,1.41311,1.15274,0.46792,0.66867,0.54022,0.46489,0.58677,1.35928,0.96772,0.000478938,0.000478938,0.000478938
16,116.75,0.50215,1.3769,1.15804,0.44271,0.70042,0.57491,0.50901,0.49505,1.27915,0.88214,0.000473434,0.000473434,0.000473434
17,124.093,0.51639,1.37925,1.16487,0.48791,0.71702,0.55688,0.47487,0.55863,1.29188,0.96402,0.00046793,0.00046793,0.00046793
18,131.42,0.51477,1.33625,1.15912,0.49342,0.64255,0.57087,0.51527,0.44579,1.34588,0.87346,0.000462425,0.000462425,0.000462425
19,138.75,0.47459,1.254,1.12463,0.54942,0.60902,0.59134,0.53158,0.4704,1.30982,0.86533,0.000456921,0.000456921,0.000456921
20,146.111,0.48453,1.3039,1.13874,0.41269,0.61431,0.53024,0.4739,0.44582,1.43618,0.8547,0.000451416,0.000451416,0.000451416
21,153.497,0.45492,1.25286,1.10815,0.40816,0.67881,0.58457,0.53552,0.44968,1.36555,0.83453,0.000445912,0.000445912,0.000445912
