epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,160.99,0.46572,1.21496,1.11712,0.5043,0.6947,0.59053,0.55982,0.33214,1.16699,0.71685,0.000440408,0.000440408,0.000440408
23,168.517,0.46468,1.27387,1.12686,0.4965,0.6491,0.58758,0.51522,0.49944,1.34125,0.89238,0.000434903,0.000434903,0.000434903
24,175.995,0.4453,1.2167,1.10123,0.4207,0.71012,0.62076,0.55883,0.42013,1.28072,0.81295,0.000429399,0.000429399,0.000429399
25,183.389,0.46729,1.23846,1.12629,0.57537,0.6781,0.57659,0.54235,0.33217,1.19711,0.71598,0.000423894,0.000423894,0.000423894
26,190.818,0.44512,1.17787,1.10236,0.4953,0.65137,0.57884,0.54166,0.36647,1.2138,0.75658,0.00041839,0.00041839,0.00041839
27,198.178,0.46167,1.23754,1.1264,0.50767,0.68465,0.6076,0.55473,0.43472,1.17765,0.81144,0.000412886,0.000412886,0.000412886
28,205.536,0.45524,1.20381,1.11147,0.4912,0.68362,0.60586,0.57771,0.33842,1.11779,0.7296,0.000407381,0.000407381,0.000407381
29,212.984,0.43521,1.1274,1.09628,0.54132,0.66527,0.61358,0.58465,0.32842,1.12317,0.71022,0.000401877,0.000401877,0.000401877
30,220.505,0.43236,1.09192,1.08984,0.59266,0.63578,0.60803,0.58109,0.32082,1.17314,0.67996,0.000396372,0.000396372,0.000396372
31,227.863,0.44516,1.15097,1.10206,0.45961,0.71734,0.58806,0.53268,0.40823,1.18017,0.77257,0.000390868,0.000390868,0.000390868
32,235.26,0.43754,1.08885,1.09633,0.49313,0.61855,0.56459,0.54267,0.26813,1.36654,0.62693,0.000385364,0.000385364,0.000385364
33,242.698,0.44005,1.10181,1.10662,0.5203,0.63486,0.612,0.5614,0.40688,1.14727,0.7496,0.000379859,0.000379859,0.000379859
34,250.132,0.42545,1.0649,1.08965,0.47224,0.66105,0.57424,0.53476,0.3986,1.31677,0.76829,0.000374355,0.000374355,0.000374355
35,257.424,0.41125,1.03139,1.0808,0.5034,0.6471,0.54459,0.51429,0.32343,1.37048,0.70789,0.00036885,0.00036885,0.00036885
36,264.882,0.42199,1.04083,1.08362,0.47015,0.72083,0.59834,0.55763,0.36955,1.26315,0.773,0.000363346,0.000363346,0.000363346
37,272.309,0.42131,1.08615,1.08679,0.43818,0.72915,0.5921,0.54833,0.38522,1.25349,0.76705,0.000357842,0.000357842,0.000357842
38,279.887,0.4157,1.00037,1.07787,0.58583,0.50462,0.53746,0.50764,0.33592,1.51162,0.70152,0.000352337,0.000352337,0.000352337
39,287.284,0.4209,1.0142,1.08675,0.51687,0.6073,0.58584,0.55621,0.33193,1.35213,0.70355,0.000346833,0.000346833,0.000346833
40,294.698,0.39861,1.00827,1.06861,0.57241,0.60201,0.57929,0.53452,0.39285,1.25214,0.76211,0.000341328,0.000341328,0.000341328
41,302.091,0.40594,1.00696,1.07665,0.53725,0.64897,0.61332,0.55048,0.42075,1.28234,0.81319,0.000335824,0.000335824,0.000335824
42,309.567,0.40414,1.00334,1.07677,0.61789,0.57265,0.55539,0.52611,0.33742,1.31867,0.70612,0.00033032,0.00033032,0.00033032
43,316.993,0.40135,0.99192,1.06869,0.46148,0.65716,0.58158,0.55224,0.34591,1.29147,0.71143,0.000324815,0.000324815,0.000324815
44,324.379,0.40586,0.96898,1.0794,0.55513,0.59867,0.57714,0.54275,0.37805,1.26277,0.77816,0.000319311,0.000319311,0.000319311
