epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.883,1.15051,3.69985,1.73315,0.32073,0.35008,0.23448,0.17017,1.02251,2.53464,1.76132,0.000182987,0.000182987,0.000182987
2,23.9403,0.69982,2.19007,1.32996,0.37277,0.47263,0.40577,0.33353,0.66823,1.85508,1.18896,0.000364674,0.000364674,0.000364674
3,35.0488,0.66381,1.99461,1.29645,0.39796,0.60149,0.47891,0.40864,0.65021,1.51841,1.09325,0.000542692,0.000542692,0.000542692
4,46.1895,0.6293,1.86883,1.25074,0.4075,0.59986,0.47443,0.40577,0.52943,1.57286,1.02256,0.000539487,0.000539487,0.000539487
5,57.3613,0.59121,1.79009,1.22612,0.53115,0.60688,0.53737,0.4531,0.60575,1.54307,1.07469,0.000533982,0.000533982,0.000533982
6,68.643,0.58096,1.75316,1.21888,0.43977,0.62646,0.50174,0.4417,0.48665,1.54864,0.95236,0.000528478,0.000528478,0.000528478
7,79.8314,0.5553,1.70454,1.19704,0.46904,0.61207,0.54502,0.47976,0.5425,1.51182,0.96111,0.000522974,0.000522974,0.000522974
8,91.1138,0.55368,1.66477,1.204,0.53249,0.70161,0.63447,0.55996,0.52299,1.1714,0.93676,0.000517469,0.000517469,0.000517469
9,102.749,0.53222,1.5981,1.17895,0.55169,0.64681,0.59457,0.51029,0.5988,1.36451,1.00091,0.000511965,0.000511965,0.000511965
10,114.155,0.51692,1.56281,1.16205,0.53969,0.77529,0.6522,0.60306,0.37112,1.081,0.75595,0.00050646,0.00050646,0.00050646
11,125.566,0.51246,1.55759,1.15988,0.53163,0.77261,0.6559,0.59166,0.42199,1.04139,0.80242,0.000500956,0.000500956,0.000500956
12,136.932,0.50531,1.53482,1.15499,0.59662,0.71045,0.67757,0.62561,0.39186,1.04246,0.76271,0.000495452,0.000495452,0.000495452
13,148.327,0.49519,1.50893,1.14965,0.58704,0.77713,0.69616,0.62396,0.45349,0.97065,0.83521,0.000489947,0.000489947,0.000489947
14,159.823,0.48237,1.45816,1.13103,0.59844,0.71271,0.68959,0.65953,0.30954,0.95489,0.66227,0.000484443,0.000484443,0.000484443
15,171.267,0.46728,1.44339,1.11598,0.61975,0.76135,0.72866,0.65795,0.43839,0.94854,0.81929,0.000478938,0.000478938,0.000478938
16,182.688,0.47108,1.39882,1.12464,0.59398,0.82962,0.71686,0.66498,0.34731,0.96709,0.75999,0.000473434,0.000473434,0.000473434
17,194.278,0.47316,1.4163,1.1301,0.61931,0.80942,0.73704,0.71296,0.26265,0.87804,0.64641,0.00046793,0.00046793,0.00046793
18,205.821,0.47136,1.39826,1.12424,0.57764,0.83917,0.72035,0.67736,0.33874,0.89312,0.71411,0.000462425,0.000462425,0.000462425
19,217.428,0.47112,1.36153,1.1217,0.62676,0.79544,0.7549,0.68881,0.42616,0.88503,0.74662,0.000456921,0.000456921,0.000456921
20,228.995,0.45478,1.37413,1.11604,0.61014,0.81449,0.76469,0.70478,0.38196,0.85357,0.73985,0.000451416,0.000451416,0.000451416
21,240.752,0.45225,1.34739,1.10982,0.69238,0.78094,0.78538,0.72345,0.395,0.80254,0.76675,0.000445912,0.000445912,0.000445912
22,252.53,0.44005,1.30485,1.10028,0.66222,0.83574,0.79079,0.74966,0.3415,0.79527,0.68351,0.000440408,0.000440408,0.000440408
23,264.202,0.4381,1.29512,1.09473,0.65813,0.82773,0.79127,0.7647,0.26931,0.77472,0.63072,0.000434903,0.000434903,0.000434903
24,276.033,0.44129,1.3116,1.10245,0.68906,0.82022,0.79394,0.72284,0.43016,0.76849,0.76019,0.000429399,0.000429399,0.000429399
25,287.824,0.43227,1.27992,1.09044,0.66959,0.8244,0.80687,0.76266,0.32437,0.75193,0.66582,0.000423894,0.000423894,0.000423894
26,299.531,0.41558,1.25288,1.08111,0.69055,0.85018,0.81879,0.79657,0.25499,0.69936,0.59653,0.00041839,0.00041839,0.00041839
27,311.431,0.41333,1.25767,1.08106,0.69817,0.85935,0.83228,0.80956,0.26407,0.6584,0.59619,0.000412886,0.000412886,0.000412886
28,323.018,0.42817,1.21533,1.09186,0.76219,0.85485,0.85753,0.78771,0.42389,0.6105,0.75948,0.000407381,0.000407381,0.000407381
29,334.61,0.41895,1.19769,1.08912,0.68996,0.89668,0.82243,0.80047,0.25872,0.68838,0.61603,0.000401877,0.000401877,0.000401877
30,346.184,0.42435,1.19749,1.08658,0.73425,0.87104,0.86079,0.84135,0.26212,0.58758,0.59327,0.000396372,0.000396372,0.000396372
31,357.728,0.41286,1.19601,1.07889,0.70791,0.86406,0.85089,0.82936,0.27415,0.6557,0.58571,0.000390868,0.000390868,0.000390868
32,369.182,0.41363,1.14223,1.08433,0.75818,0.87463,0.86524,0.84694,0.23126,0.56744,0.57921,0.000385364,0.000385364,0.000385364
33,380.593,0.41259,1.17569,1.08087,0.76881,0.86143,0.87663,0.84401,0.31565,0.57221,0.64523,0.000379859,0.000379859,0.000379859
34,392.038,0.39608,1.13033,1.06617,0.76124,0.85218,0.86037,0.82907,0.28835,0.57741,0.61271,0.000374355,0.000374355,0.000374355
35,403.621,0.40198,1.12306,1.07058,0.7505,0.90637,0.87536,0.83769,0.31172,0.52611,0.64193,0.00036885,0.00036885,0.00036885
36,415.251,0.3914,1.08616,1.06234,0.77208,0.85751,0.88321,0.81622,0.38464,0.542,0.70871,0.000363346,0.000363346,0.000363346
37,426.998,0.40296,1.12955,1.06961,0.7714,0.86213,0.88519,0.81015,0.41471,0.56697,0.71228,0.000357842,0.000357842,0.000357842
38,438.593,0.39704,1.11158,1.07218,0.75829,0.92537,0.88374,0.86173,0.25605,0.51736,0.60274,0.000352337,0.000352337,0.000352337
39,450.103,0.38669,1.06564,1.06402,0.76102,0.89854,0.89022,0.86648,0.2923,0.50377,0.62145,0.000346833,0.000346833,0.000346833
40,461.659,0.38659,1.082,1.05974,0.77675,0.91497,0.89438,0.8723,0.27941,0.51658,0.60001,0.000341328,0.000341328,0.000341328
